round,team1,team2,sitting
313,FC,ED,AB
314,AE,BF,CD
315,DA,CB,EF
316,EC,FD,AB
317,AF,BE,CD
318,CA,DB,EF
319,FC,DE,AB
320,EA,BF,CD
321,AD,CB,EF
322,DC,FE,AB
323,BA,EF,CD
324,AB,CD,EF
325,FC,DE,AB
326,EA,BF,CD
327,AD,CB,EF
328,CE,DF,AB
329,FA,EB,CD
330,AC,BD,EF
331,CF,DE,AB
332,EA,FB,CD
333,AD,BC,EF
334,CE,DF,AB
335,FA,EB,CD
336,AC,BD,EF
337,CD,EF,AB
338,AB,FE,CD
339,BA,DC,EF
340,CF,ED,AB
341,AE,FB,CD
342,DA,BC,EF
343,EC,FD,AB
344,AF,BE,CD
345,CA,DB,EF
346,EC,FD,AB
347,AE,BF,CD
348,CA,DB,EF
349,FC,ED,AB
350,AF,BE,CD
351,DA,CB,EF
352,CD,EF,AB
353,AB,FE,CD
354,BA,DC,EF
355,CF,ED,AB
356,AE,FB,CD
357,DA,BC,EF
358,CE,DF,AB
359,FA,EB,CD
360,AC,BD,EF
